game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
0a17b497-1f25-42ea-969f-60b853ed08a2,1,Troll Masters,Gausdal NOR,2001.01.05,1,"Edvardsen,R","Carlsen,Magnus",1/2-1/2,2055,,,,,,draw,,draw,,0,D12,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
ad1f96c7-2b08-4bcf-b46a-9fa1778dedb6,2,Troll Masters,Gausdal NOR,2001.01.06,2,"Carlsen,Magnus","Brameld,A",0-1,,,2095,,,,"Brameld,A",2095,"Carlsen,Magnus",,0,B05,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
1a7ded26-f3e8-4ce6-b5fe-0c839a9e0589,3,Troll Masters,Gausdal NOR,2001.01.07,3,"Carlsen,Magnus","Fant,G",1-0,,,2062,,,,"Carlsen,Magnus",,"Fant,G",2062,0,C16,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
62927ed4-e92a-4bb1-b6bb-bf5cfb675993,4,Troll Masters,Gausdal NOR,2001.01.08,4,"Tallaksen,G","Carlsen,Magnus",1/2-1/2,2258,,,,,,draw,,draw,,0,D35,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
c0dfabf3-7202-486c-9037-46a722032191,5,Troll Masters,Gausdal NOR,2001.01.08,5,"Carlsen,Magnus","Nilssen,J",0-1,,,2371,,,,"Nilssen,J",2371,"Carlsen,Magnus",,0,B32,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
9cf44593-b4cd-4e98-af88-e526483b1673,6,Troll Masters,Gausdal NOR,2001.01.09,6,"Grubert,C","Carlsen,Magnus",1-0,2170,,,,,,"Grubert,C",2170,"Carlsen,Magnus",,0,C42,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
ea74b597-4065-461e-b74e-94e30e636618,7,Troll Masters,Gausdal NOR,2001.01.10,7,"Carlsen,Magnus","Johansen,KR",1-0,,,2097,,,,"Carlsen,Magnus",,"Johansen,KR",2097,0,B06,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
58c7ddd7-b8ed-4ad1-99e8-b3eaf624efe0,8,Troll Masters,Gausdal NOR,2001.01.11,8,"Sorensen,H","Carlsen,Magnus",1-0,2245,,,,,,"Sorensen,H",2245,"Carlsen,Magnus",,0,D48,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
c1febe0a-246f-40ca-9486-cf7abd2baba8,9,Troll Masters,Gausdal NOR,2001.01.12,9,"Carlsen,Magnus","Moen,A",0-1,,,2227,,,,"Moen,A",2227,"Carlsen,Magnus",,0,C42,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
602a22ee-fc35-4ee6-8a02-81271da0d2f8,10,Open NOR-ch,Oslo NOR,2001.04.07,1,"Hagberg,Oivind","Carlsen,M",0-1,,,2064,,,,"Carlsen,M",2064,"Hagberg,Oivind",,0,C42,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
8952edca-ec6b-4634-8880-b5f71147596f,11,Open NOR-ch,Oslo NOR,2001.04.08,2,"Carlsen,M","Sollid,Stein",0-1,2064,,,,,,"Sollid,Stein",,"Carlsen,M",2064,0,C63,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
