Name,Title,Country,Standard Rating,Rapid Rating,Blitz Rating,Birth Year,Age
"Carlsen, Magnus",GM,Norway,2829,2818,2887,1990,33
"Caruana, Fabiano",GM,United States,2795,2765,2813,1992,31
"Ding, Liren",GM,China,2780,2830,2787,1992,31
"Nakamura, Hikaru",GM,United States,2778,2731,2874,1987,36
"Firouzja, Alireza",GM,France,2777,2742,2896,2003,20
"Nepomniachtchi, Ian",GM,Russia,2771,2789,2785,1990,33
"So, Wesley",GM,United States,2752,2753,2760,1993,30
"Giri, Anish",GM,Netherlands,2752,2697,2752,1994,29
"Karjakin, Sergey",GM,Russia,2750,2729,2647,1990,33
"Anand, Viswanathan",GM,India,2748,2749,2709,1969,54
"Rapport, Richard",GM,Romania,2748,2735,2748,1996,27
Gukesh D,GM,India,2746,2656,2657,2006,17
"Radjabov, Teimour",GM,Azerbaijan,2745,2691,2664,1987,36
"Dominguez Perez, Leinier",GM,United States,2745,2706,2654,1983,40
Praggnanandhaa R,GM,India,2741,2706,2665,2005,18
"Vachier-Lagrave, Maxime",GM,France,2734,2771,2728,1990,33
"Mamedyarov, Shakhriyar",GM,Azerbaijan,2734,2715,2716,1985,38
"Maghsoodloo, Parham",GM,Iran,2732,2644,2660,2000,23
"Grischuk, Alexander",GM,Russia,2732,2678,2699,1983,40
"Le, Quang Liem",GM,Vietnam,2731,2652,2665,1991,32
"Duda, Jan-Krzysztof",GM,Poland,2731,2772,2775,1998,25
"Wei, Yi",GM,China,2729,2744,2684,1999,24
"Aronian, Levon",GM,United States,2727,2762,2772,1982,41
"Topalov, Veselin",GM,Bulgaria,2727,2632,2657,1975,48
"Abdusattorov, Nodirbek",GM,Uzbekistan,2722,2727,2694,2004,19
"Keymer, Vincent",GM,Germany,2721,2631,2629,2004,19
"Yu, Yangyi",GM,China,2720,2699,2762,1994,29
"Vidit, Santosh Gujrathi",GM,India,2715,2691,2642,1994,29
"Artemiev, Vladislav",GM,Russia,2714,2721,2799,1998,25
Erigaisi Arjun,GM,India,2713,2654,2729,2003,20
"Vitiugov, Nikita",GM,England,2712,2617,2673,1987,36
"Harikrishna, Pentala",GM,India,2711,2632,2641,1986,37
"Dubov, Daniil",GM,Russia,2710,2713,2767,1996,27
"Martirosyan, Haik M.",GM,Armenia,2708,2634,2770,2000,23
"Sjugirov, Sanan",GM,Hungary,2703,2571,2569,1993,30
"Deac, Bogdan-Daniel",GM,Romania,2700,2623,2641,2001,22
"Van Foreest, Jorden",GM,Netherlands,2700,2655,2664,1999,24
"Eljanov, Pavel",GM,Ukraine,2697,2620,2598,1983,40
"Robson, Ray",GM,United States,2696,2596,2665,1994,29
"Sevian, Samuel",GM,United States,2696,2581,2695,2000,23
"Navara, David",GM,Czech Republic,2695,2712,2661,1985,38
"Wang, Hao",GM,China,2694,2709,2628,1989,34
"Tabatabaei, M. Amin",GM,Iran,2694,2576,2573,2001,22
Nihal Sarin,GM,India,2692,2667,2689,2004,19
"Svidler, Peter",GM,FIDE,2689,2737,2689,1976,47
"Grandelius, Nils",GM,Sweden,2688,2640,2573,1993,30
"Sargissian, Gabriel",GM,Armenia,2686,2608,2579,1983,40
"Shankland, Sam",GM,United States,2686,2597,2663,1991,32
"Sindarov, Javokhir",GM,Uzbekistan,2681,2625,2607,2005,18
"Tomashevsky, Evgeny",GM,Russia,2681,2642,2663,1987,36
"Xiong, Jeffery",GM,United States,2681,2727,2726,2000,23
"Abasov, Nijat",GM,Azerbaijan,2679,2554,2561,1995,28
"Kasimdzhanov, Rustam",GM,Uzbekistan,2679,2648,2586,1979,44
"Bu, Xiangzhi",GM,China,2677,2594,2760,1985,38
"Esipenko, Andrey",GM,FIDE,2677,2677,2615,2002,21
"Howell, David W L",GM,England,2676,2612,2567,1990,33
"Fedoseev, Vladimir",GM,Slovenia,2675,2716,2719,1995,28
"Kovalenko, Igor",GM,Ukraine,2674,2608,2574,1988,35
"Amin, Bassem",GM,Egypt,2674,2580,2636,1988,35
"Matlakov, Maxim",GM,Russia,2674,2616,2638,1991,32
"Adams, Michael",GM,England,2670,2647,2704,1971,52
"Bluebaum, Matthias",GM,Germany,2670,2608,2621,1997,26
"Alekseenko, Kirill",GM,Austria,2670,2630,2667,1997,26
"Sarana, Alexey",GM,Serbia,2669,2649,2707,2000,23
Narayanan S L,GM,India,2668,2586,2564,1998,25
"Shirov, Alexei",GM,Spain,2668,2601,2659,1972,51
"Wojtaszek, Radoslaw",GM,Poland,2668,2648,2604,1987,36
"Anton Guijarro, David",GM,Spain,2668,2625,2616,1995,28
"Bacrot, Etienne",GM,France,2668,2674,2640,1983,40
"Vallejo Pons, Francisco",GM,Spain,2668,2652,2589,1982,41
"Oparin, Grigoriy",GM,United States,2667,2657,2647,1997,26
"Korobov, Anton",GM,Ukraine,2667,2601,2649,1985,38
"Leko, Peter",GM,Hungary,2666,2710,2738,1979,44
"Shevchenko, Kirill",GM,Romania,2665,2613,2603,2002,21
"Donchenko, Alexander",GM,Germany,2664,2574,2569,1998,25
"Predke, Alexandr",GM,Serbia,2661,2586,2594,1994,29
"Volokitin, Andrei",GM,Ukraine,2660,2609,2545,1986,37
"Gelfand, Boris",GM,Israel,2660,2622,2604,1968,55
"Wang, Yue",GM,China,2659,2710,2666,1987,36
"Niemann, Hans Moke",GM,United States,2659,2606,2614,2003,20
"Saric, Ivan",GM,Croatia,2659,2623,2586,1990,33
"Inarkiev, Ernesto",GM,FIDE,2658,2684,2544,1985,38
"Ivanchuk, Vasyl",GM,Ukraine,2653,2674,2678,1969,54
"Naiditsch, Arkadij",GM,Azerbaijan,2653,2569,2569,1985,38
"Ma, Qun",GM,China,2653,2577,2602,1991,32
"Najer, Evgeniy",GM,FIDE,2653,2579,2545,1977,46
"Li, Chao b",GM,China,2652,2618,2693,1989,34
"Kryvoruchko, Yuriy",GM,Ukraine,2652,2697,2595,1986,37
"Ni, Hua",GM,China,2651,2626,2579,1983,40
"Bartel, Mateusz",GM,Poland,2651,2523,2497,1985,38
"Pichot, Alan",GM,Spain,2650,2575,2583,1998,25
"Melkumyan, Hrant",GM,Armenia,2650,2686,2604,1989,34
"Yilmaz, Mustafa",GM,Turkey,2650,2547,2523,1992,31
"Sadhwani, Raunak",GM,India,2650,2586,2668,2005,18
"Cheparinov, Ivan",GM,Bulgaria,2649,2643,2613,1986,37
"Svane, Rasmus",GM,Germany,2647,2629,2597,1997,26
"Grigoryan, Karen H.",GM,Armenia,2646,2674,2700,1995,28
"Malakhov, Vladimir",GM,FIDE,2646,2666,2622,1980,43
"Mamedov, Rauf",GM,Azerbaijan,2644,2622,2635,1988,35
"Yakubboev, Nodirbek",GM,Uzbekistan,2643,2564,2582,2002,21
"Kollars, Dmitrij",GM,Germany,2642,2560,2575,1999,24
