Name,Title,Country,Standard,Rapid,Blitz,Birth Year
"Carlsen, Magnus",GM,NOR,2863,2881,2886,1990
"Caruana, Fabiano",GM,USA,2835,2773,2711,1992
"Ding, Liren",GM,CHN,2791,2836,2788,1992
"Nepomniachtchi, Ian",GM,RUS,2784,2778,2785,1990
"Vachier-Lagrave, Maxime",GM,FRA,2778,2860,2822,1990
"Grischuk, Alexander",GM,RUS,2777,2784,2765,1983
"Aronian, Levon",GM,ARM,2773,2778,2739,1982
"So, Wesley",GM,USA,2770,2741,2816,1993
"Radjabov, Teimour",GM,AZE,2765,2758,2757,1987
"Mamedyarov, Shakhriyar",GM,AZE,2764,2761,2716,1985
"Giri, Anish",GM,NED,2764,2731,2752,1994
"Wang, Hao",GM,CHN,2763,2750,2712,1989
"Rapport, Richard",GM,HUN,2760,2727,2759,1996
"Dominguez Perez, Leinier",GM,USA,2758,2786,2654,1983
"Anand, Viswanathan",GM,IND,2753,2751,2785,1969
"Duda, Jan-Krzysztof",GM,POL,2753,2774,2799,1998
"Karjakin, Sergey",GM,RUS,2752,2709,2765,1990
"Nakamura, Hikaru",GM,USA,2736,2829,2900,1987
"Topalov, Veselin",GM,BUL,2735,2707,2667,1975
"Wei, Yi",GM,CHN,2732,2752,2686,1999
"Harikrishna, Pentala",GM,IND,2732,2705,2614,1986
"Firouzja, Alireza",GM,FID,2728,2703,2770,2003
"Vidit, Santosh Gujrathi",GM,IND,2726,2636,2735,1994
"Andreikin, Dmitry",GM,RUS,2726,2740,2782,1990
"Svidler, Peter",GM,RUS,2723,2742,2754,1976
"Vitiugov, Nikita",GM,RUS,2722,2616,2673,1987
"Wojtaszek, Radoslaw",GM,POL,2717,2703,2730,1987
"Artemiev, Vladislav",GM,RUS,2716,2769,2783,1998
"Vallejo Pons, Francisco",GM,ESP,2710,2656,2615,1982
"Yu, Yangyi",GM,CHN,2709,2738,2808,1994
"Xiong, Jeffery",GM,USA,2709,2730,2724,2000
"Le, Quang Liem",GM,VIE,2709,2744,2690,1991
"Navara, David",GM,CZE,2707,2717,2745,1985
"Adams, Michael",GM,ENG,2706,2684,2742,1971
"Tomashevsky, Evgeny",GM,RUS,2706,2681,2695,1987
"Bu, Xiangzhi",GM,CHN,2705,2642,2760,1985
"Dubov, Daniil",GM,RUS,2699,2770,2722,1996
"Alekseenko, Kirill",GM,RUS,2696,2661,2580,1997
"Sadler, Matthew D",GM,ENG,2694,2673,2646,1974
"Shankland, Sam",GM,USA,2691,2609,2704,1991
"Korobov, Anton",GM,UKR,2688,2794,2711,1985
"Anton Guijarro, David",GM,ESP,2688,2667,2622,1995
"Almasi, Zoltan",GM,HUN,2687,2621,2585,1976
"Cheparinov, Ivan",GM,GEO,2686,2638,2665,1986
"Amin, Bassem",GM,EGY,2686,2608,2617,1988
"Matlakov, Maxim",GM,RUS,2685,2660,2760,1991
"Predke, Alexandr",GM,RUS,2684,2645,2642,1994
"Jakovenko, Dmitry",GM,RUS,2684,2700,2625,1983
"Li, Chao b",GM,CHN,2683,2645,2693,1989
"Salem, A.R. Saleh",GM,UAE,2682,2689,2659,1993
"Van Foreest, Jorden",GM,NED,2682,2543,2603,1999
"Kryvoruchko, Yuriy",GM,UKR,2682,2697,2617,1986
"Esipenko, Andrey",GM,RUS,2682,2629,2595,2002
"Sargissian, Gabriel",GM,ARM,2682,2693,2596,1983
"McShane, Luke J",GM,ENG,2680,2698,2591,1984
"Ragger, Markus",GM,AUT,2679,2644,2581,1988
"Ivanchuk, Vasyl",GM,UKR,2678,2686,2710,1969
"Areshchenko, Alexander",GM,UKR,2678,2622,2615,1986
"Fedoseev, Vladimir",GM,RUS,2678,2714,2756,1995
"Gelfand, Boris",GM,ISR,2676,2702,2693,1968
"Maghsoodloo, Parham",GM,IRI,2676,2532,2601,2000
"Sjugirov, Sanan",GM,RUS,2675,2640,2472,1993
"Kamsky, Gata",GM,USA,2674,2701,2644,1974
"Bacrot, Etienne",GM,FRA,2673,2667,2673,1983
"Robson, Ray",GM,USA,2673,2605,2637,1994
"Eljanov, Pavel",GM,UKR,2672,2630,2602,1983
"Jones, Gawain C B",GM,ENG,2670,2609,2657,1987
"Malakhov, Vladimir",GM,RUS,2669,2670,2654,1980
"Wang, Yue",GM,CHN,2669,2710,2666,1987
"Ni, Hua",GM,CHN,2667,2647,2579,1983
"Guseinov, Gadir",GM,AZE,2665,2692,2581,1986
"Nyzhnyk, Illya",GM,UKR,2665,2658,2694,1996
"Abasov, Nijat",GM,AZE,2664,2541,2544,1995
"Howell, David W L",GM,ENG,2663,2624,2677,1990
"Leko, Peter",GM,HUN,2663,2710,2738,1979
